Timestamp: 1666160872181910680, Orientation (x, y, z, w): -0.00657856138423, 0.00232556369156, 0.69196254015, 0.719561457634, Angular velocity (x, y, z): 0.0106576001272, 0.0119898002595, 0.208356082439, Linear acceleration (x, y, z): 0.0681883469224, 0.843382179737, 10.0727348328
Timestamp: 1666160872231817432, Orientation (x, y, z, w): -0.00620547961444, 0.00331065314822, 0.693452596664, 0.718125104904, Angular velocity (x, y, z): -0.00479592010379, 0.00346372020431, 0.0825964063406, Linear acceleration (x, y, z): -0.362474888563, 0.692650020123, 8.71734142303
Timestamp: 1666160872281880184, Orientation (x, y, z, w): -0.00484924949706, 0.00483841635287, 0.695023477077, 0.716606497765, Angular velocity (x, y, z): 0.0266440007836, 0.0106576001272, 0.0873923227191, Linear acceleration (x, y, z): -0.0406737476587, 1.02402150631, 9.66838932037
Timestamp: 1666160872331901176, Orientation (x, y, z, w): -0.00543358828872, 0.00623090006411, 0.696253716946, 0.715396404266, Angular velocity (x, y, z): 0.0013322000159, 0.0159863997251, 0.0690079629421, Linear acceleration (x, y, z): -0.89721506834, 0.382811754942, 9.38965511322
Timestamp: 1666160872381699064, Orientation (x, y, z, w): -0.00566512392834, 0.00790516939014, 0.698041796684, 0.713633418083, Angular velocity (x, y, z): 0.00959184020758, 0.0258446801454, 0.100447885692, Linear acceleration (x, y, z): -0.736912667751, 0.601732254028, 9.84543991089
Timestamp: 1666160872431738744, Orientation (x, y, z, w): -0.00616190070286, 0.00988376513124, 0.698485791683, 0.713170170784, Angular velocity (x, y, z): -0.0125226806849, 0.0402324423194, 0.0250453613698, Linear acceleration (x, y, z): -0.73332375288, 1.00966596603, 9.03555393219
Timestamp: 1666160872481708632, Orientation (x, y, z, w): -0.00692694121972, 0.0102506764233, 0.699756264687, 0.711911380291, Angular velocity (x, y, z): -0.0311734806746, 0.00719388015568, 0.0711394846439, Linear acceleration (x, y, z): -0.653172552586, 0.382811754942, 8.91233634949
Timestamp: 1666160872531833944, Orientation (x, y, z, w): -0.00693638063967, 0.0103098833933, 0.699840188026, 0.711827874184, Angular velocity (x, y, z): -0.0117233600467, -0.0186507999897, 0.00452948035672, Linear acceleration (x, y, z): -0.642405986786, 0.300267964602, 9.71025943756
Timestamp: 1666160872581723928, Orientation (x, y, z, w): -0.00843786168844, 0.00974189769477, 0.699156701565, 0.712491095066, Angular velocity (x, y, z): -0.073004566133, -0.0018650800921, -0.0391666814685, Linear acceleration (x, y, z): -0.76801609993, 0.32538998127, 9.51885414124
Timestamp: 1666160872631803352, Orientation (x, y, z, w): -0.00941059924662, 0.0112205967307, 0.699581384659, 0.712040126324, Angular velocity (x, y, z): 0.00399659993127, 0.00692744040862, 0.0247789211571, Linear acceleration (x, y, z): -1.35898172855, 0.183031871915, 8.84414768219
Timestamp: 1666160872681912856, Orientation (x, y, z, w): -0.010241647251, 0.0121415285394, 0.700208067894, 0.71139729023, Angular velocity (x, y, z): -0.0181179214269, 0.0141213200986, 0.0354365222156, Linear acceleration (x, y, z): -0.936692535877, 0.389989495277, 9.22696018219
Timestamp: 1666160872731799288, Orientation (x, y, z, w): -0.00999172031879, 0.0119495671242, 0.70029515028, 0.711318314075, Angular velocity (x, y, z): -0.00319728022441, 0.0141213200986, 0.00452948035672, Linear acceleration (x, y, z): 0.217724189162, 0.122021250427, 9.94832038879
Timestamp: 1666160872781814936, Orientation (x, y, z, w): -0.0111103784293, 0.0127277076244, 0.700065851212, 0.711513757706, Angular velocity (x, y, z): -0.0221145208925, 0.00532880006358, -0.0125226806849, Linear acceleration (x, y, z): -1.19748306274, 0.253612786531, 9.24729633331
Timestamp: 1666160872831840696, Orientation (x, y, z, w): -0.0120355403051, 0.0134295066819, 0.699913620949, 0.711635708809, Angular velocity (x, y, z): -0.0175850410014, 0.0221145208925, -0.00825964007527, Linear acceleration (x, y, z): -0.809886157513, 0.239257350564, 9.83228111267
Timestamp: 1666160872881721560, Orientation (x, y, z, w): -0.0130673740059, 0.013793724589, 0.699491024017, 0.712025821209, Angular velocity (x, y, z): 0.00879252050072, 0.022647401318, -0.0223809611052, Linear acceleration (x, y, z): -0.692650020123, -0.5359364748, 9.87654304504
